numberOfTweet,text,user name,screen name,description,gender
117,"Pray. I hope @SallyKohn doesn't blame Christians and ""right-wing"" guilt on this too. https://t.co/NVGlva0XbP",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
118,"@notthefakeDH She's such a hater. Hates God, hates Christians, hates Muslims, anyone she can label as ""right wing"" @PizzaPartyBen @sallykohn",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
119,.@DANEgerus She also attacked Muslims. She clearly has repressed issues with God from childhood and taking it out on everyone. @sallykohn,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
120,She's using a now infamous tactic; double down. Used by new Left and new Right. Doesn't work against peer scrutiny. https://t.co/7T4imk4VNN,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
121,#NowPlaying I Don't Need Your Rockin' Chair - Version w/special guests ♫ https://t.co/Dn2CInGBTS,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
122,"Sally Kohn has to deal with a proud Black, Arab, conservative who understands the media game. What ever will she do? Bigoted head exploding.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
123,Listening to George Jones while attacking Sally Kohn's anti-monotheistic bigotry. May have to get the intern to fetch me a cigar.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
124,"JUST IN: Sally is doubling down, calling all Muslims and Christians ""right-wing"" people ""guilty"" of #OrlandoShooting https://t.co/mGqayG6vQJ",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
125,"If @SeanHannity has @SallyKohn on his show after she called Muslims and Christians ""right-wing"" ""guilty"" killers... https://t.co/JFudWVLzcQ",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
126,".@jechoot1 I'll be fine. Thanks for looking out though. She tries getting my account censored, makes news. Deleted? more news. Win win win.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
127,"If you believe in God you're ""right-wing"" says @CNN's @SallyKohn. Hope she's not on @ErinBurnett tonight. Called Muslims/Christians killers.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
128,"Y'all recognize this version of me, right? Where I get pissed and we all team up to hold someone awful, accountable? Let's do this.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
129,"Why was it okay for @CNN Contributor @SallyKohn to call Muslims ""right-wing."" Is this a slur? Every Muslim is a killer now? @CAIRNational",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
130,"If you're a Muslim or a Christian or believe that there is a God at all, @sallykohn wants YOU to know YOU killed in #OrlandoShooting.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
131,@JoeFL65 I appreciate it. I haven't even started making calls to producers or enlisting allies. Appetizer. @sallykohn @instapundit,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
132,.@JoeFL65 Ask Susan Roesgen and Soledad O'Brien. They know my name. Our names. CNN fires liabilities. @sallykohn @instapundit,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
133,"This is how you win: you cite the problem, you gather an army, you beat the opponent until they are done. Our media—let's take it back. #war",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
134,How much time am I willing to spend on a small fry like Kohn? As much as I have to before she eats all the fries of course!,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
135,".@JoeFL65 I'd prefer her not apologize actually. When others see consequences, it'll deter bigoted media. @sallykohn @instapundit",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
136,"To date, I've helped get two CNN journalists fired. On in 2009, one in 2013(?). Guess I have to come outta retirement. @Not_RSMcCain",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
137,"My research and viral blog post led to getting Soledad O'Brien fired at @CNN, Sally Kohn is nothing. #HateIsHate https://t.co/NBYnmQVhmg",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
138,"You can end all of this outrage by apologizing for your bigoted comments, @sallykohn. Love God, love people. Hate has no place here.ticktock",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
139,"You called Muslims and Christians ""right-wing"" killers. Your contract at @CNN is getting harder to keep. Tick. Tock. https://t.co/BydSgcTcmb",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
140,Me too. I'm a huge fan of the Fourth Estate but I hate an unethical bully and WaPo is certainly an offender. https://t.co/QxJuYK9AUO,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
141,The press is an institution that SOLELY exists to inform the public. We gave them special protections to do that job. Bend 'em back to role.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
142,WaPo said that Donald Trump killed people in Orlando. I don't think right now is the time to be defending WaPo's integrity. Editor level.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
143,Trump campaign pulls WaPo's press credentials for its events after WaPo accuses him of killing people. #Orlando https://t.co/dWMO6z4TYN,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
144,No more bigots of ANY kind. 53 needed to reach 100: https://t.co/NBYnmQVhmg #OrlandoUnited @sallykohn @brianstelter @HowardKurtz @theMRC,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
145,"Jim Hoft comes out as gay. After the Pulse Club Massacre, It's Time for Gays to Come Home to Republican Party - https://t.co/4muKbDNydI",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
146,"6/13/2016 Robinhood App global bug prevented a +6.5% day. :( $TVIX $CBYL $VKTX 

Me: +1.73% 
DJIA: -0.74%
S&amp;P 500: -0.81%
NASDAQ: -0.94%",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
147,"Kept the faith and was rewarded $TVIX $CBYL. $VKTX down but will bounce back this week. Buy, buy, buy. (Not advice) https://t.co/sa6A7PjuEH",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
148,"It's time to go to #war with our media. They serve us, that's how this works. There's nobility and honor in that. They've forgotten. Bend em",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
149,Anyone have a coupon for @parachutehome? Or do they have an influencer program? This bedding looks amazing... maybe.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
150,I know a ton of gays supporting @realDonaldTrump. Gays helped Bush win FL in 2000. Fun fact. @Nero @PizzaPartyBen https://t.co/Zx3ncPw8VU,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
151,"I don't know what has $VKTX down to 1.24, but I wouldn't rule out a pop back up during the last 8 minutes.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
152,"My prediction was that $CBYL would end between 1.20 and 1.25. Looks like I'm about to be proven right. I think. Dip was easy, smart buys.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
153,"Suggestion for other communication professionals, use the word ""weak"" and ""record of disaster after disaster"" when talking Clinton natl sec.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
154,@HashtagGriswold Update: https://t.co/NBYnmQVhmg,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
155,"Retract your bigotry and hand us your job, @sallykohn. And I mean now, hateful bigot. Pepole are dead. Shame. https://t.co/NBYnmQVhmg",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
156,Sign my petition: @CNN must terminate @SallyKohn for anti-Christian bigotry  https://t.co/4qioxYEHGc via @Change,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
157,.@Kazport She clearly has repressed hatred toward people who choose to love God in a way she doesn't. Shameful. @sallykohn @Mediaite,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
158,"@Marenda It's not a real rule. It's a fake rule meant to control their float, money they keep and make interest on while we wait.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
159,I'm not turning on @CNN until @sallykohn is suspended for 3 months or contract terminated. Downright disgusting bigotry.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
160,"After Islamic Terrorist Kills 49, CNN Contributor @sallykohn Focuses on the Real Threat: Christians https://t.co/kM4B8x3nwN via @mediaite",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
161,Making a lot of money if you're betting against gold and against the market. Doesn't usually work this way. #blessed,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
162,Robinhood app error today just deprived me over $460. Only allowed me to use a small portion of my available funds. Ugh. $TVIX,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
163,"Forget WhatsApp, Apple to launch iMessage for Android https://t.co/j4lEWBCQJW via @vuukle",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
164,".@realDonaldTrump: ""No more nation-building.""",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
165,".@PolitiFact fact-check (falsely, might I add) Trump as he speaks. Didn't do that for Clinton's appearances. Not #journalism.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
166,.@HillaryClinton's words are worthless and would leave minorities dead in the streets.,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
167,#Bigly,Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
168,"I opposed Donald Trump like the light flees the dark. In fact, I left the Republican Party. Still way better than @HillaryClinton. Safer.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
169,"Burden is on @HillaryClinton to justify her radical, extreme #immigration policy pushed by special interests and partisan groups.",Ali A. Akbar,ali,"I build organizations and brands. Professionally in politics, content, design and technology. Lead @ViceAndVictory and @Club. Grammatical errors are all mine!",female
